num_train_running,num_train_operational,num_dalian_train_running,num_dalian_train_operational,headway,entry,exit,temp,humidity,rain_1h,rain_3h
15.0,15.0,0.0,0.0,7.0,2540.0,3374.0,27.15,85,0.0,0.0
13.0,13.0,0.0,0.0,8.0,6468.0,552.0,30.33,79,0.21,0.0
13.0,13.0,0.0,0.0,8.0,3302.0,4.0,31.85,49,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2651.0,3209.0,26.94,91,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2149.0,1384.0,27.79,90,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2612.0,384.0,33.25,54,0.0,0.0
15.0,15.0,0.0,0.0,7.0,3734.0,1364.0,29.22,69,0.0,0.0
13.0,13.0,0.0,0.0,8.0,3816.0,1141.0,31.82,55,0.0,0.0
13.0,14.0,0.0,0.0,7.0,1531.0,1.0,32.67,54,0.0,0.0
14.0,14.0,0.0,0.0,7.5,3623.0,1119.0,29.28,69,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2259.0,3182.0,27.34,83,0.0,0.0
15.0,16.0,0.0,0.0,7.0,3250.0,1891.0,29.49,66,0.0,0.0
6.0,6.0,0.0,0.0,8.5,675.0,0.0,33.3,47,0.0,0.0
9.0,12.0,0.0,0.0,8.5,3750.0,0.0,30.15,77,0.5,0.0
12.0,15.0,0.0,0.0,8.5,2075.0,1489.0,28.06,74,0.0,0.0
15.0,15.0,0.0,0.0,7.0,6640.0,1067.0,30.33,67,0.59,0.0
12.0,14.0,0.0,0.0,8.5,2622.0,4641.0,26.3,88,0.0,0.0
9.0,9.0,0.0,0.0,8.0,3647.0,0.0,31.51,67,0.16,0.0
15.0,15.0,0.0,0.0,7.0,3124.0,807.0,26.71,86,0.0,0.0
15.0,16.0,0.0,0.0,7.0,6342.0,1102.0,29.45,75,0.0,0.0
14.0,14.0,0.0,0.0,7.5,6301.0,494.0,29.67,75,0.0,0.0
15.0,15.0,0.0,0.0,7.0,3869.0,1152.0,26.72,86,0.0,0.0
8.0,8.0,0.0,0.0,7.0,3317.0,0.0,30.43,75,0.0,0.0
7.0,7.0,0.0,0.0,8.0,3514.0,0.0,32.34,59,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2098.0,2188.0,27.11,93,0.0,0.0
15.0,15.0,0.0,0.0,7.0,4624.0,1214.0,28.7,84,0.0,0.6
15.0,15.0,0.0,0.0,7.0,312.0,2354.0,25.39,93,0.0,0.0
13.0,13.0,0.0,0.0,8.0,6362.0,456.0,32.91,58,0.0,0.0
15.0,16.0,0.0,0.0,7.0,3695.0,1235.0,27.32,89,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2688.0,1968.0,26.64,86,0.0,0.0
7.0,7.0,0.0,0.0,8.0,1597.0,0.0,32.5,49,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2166.0,2023.0,27.68,82,0.0,0.0
12.0,13.0,0.0,0.0,8.5,1468.0,491.0,31.81,61,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2896.0,1350.0,30.71,46,0.0,0.0
10.0,13.0,0.0,0.0,8.5,743.0,0.0,31.5,61,0.0,0.0
12.0,15.0,0.0,0.0,8.5,2051.0,920.0,26.29,99,0.0,1.0
12.0,13.0,0.0,0.0,8.5,3947.0,0.0,30.62,60,0.0,0.0
12.0,13.0,0.0,0.0,8.5,2220.0,2522.0,27.46,82,0.0,0.0
9.0,9.0,0.0,0.0,8.0,3764.0,0.0,32.03,47,0.0,0.0
15.0,15.0,0.0,0.0,7.0,6606.0,1022.0,32.03,47,0.0,0.0
12.0,13.0,0.0,0.0,8.5,4370.0,984.0,29.44,66,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2010.0,1569.0,27.46,74,0.0,0.0
7.0,7.0,0.0,0.0,8.0,3484.0,0.0,31.83,56,0.0,0.0
8.0,8.0,0.0,0.0,8.0,3507.0,0.0,31.14,61,0.0,0.0
15.0,15.0,0.0,0.0,7.0,3623.0,752.0,28.78,66,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2072.0,2079.0,26.75,78,0.0,0.0
15.0,16.0,0.0,0.0,7.0,5225.0,677.0,31.16,61,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2377.0,3180.0,25.69,85,0.0,0.0
8.0,8.0,0.0,0.0,8.0,3252.0,0.0,31.41,58,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2437.0,1271.0,27.31,71,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2844.0,4324.0,26.81,80,0.0,0.0
9.0,9.0,0.0,0.0,8.0,1382.0,0.0,32.22,56,0.0,0.0
15.0,16.0,0.0,0.0,7.0,3221.0,1422.0,28.61,52,0.0,0.0
7.0,7.0,0.0,0.0,9.0,809.0,1.0,31.84,51,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2111.0,1976.0,26.46,76,0.0,0.0
12.0,12.0,0.0,0.0,8.5,1043.0,189.0,31.54,51,0.0,0.0
12.0,13.0,1.0,0.0,8.5,1857.0,1660.0,27.56,75,0.0,0.0
12.0,13.0,0.0,0.0,8.5,1847.0,1118.0,26.47,84,0.0,0.0
7.0,7.0,0.0,0.0,9.0,3708.0,0.0,32.02,45,0.0,0.0
13.0,14.0,0.0,0.0,8.5,2518.0,1119.0,28.66,65,0.0,0.0
12.0,13.0,1.0,0.0,8.5,2530.0,1675.0,26.28,81,0.0,0.0
12.0,13.0,1.0,0.0,8.5,3727.0,1129.0,27.88,82,0.5,0.0
12.0,13.0,0.0,0.0,8.5,2832.0,3926.0,25.63,77,0.0,0.0
6.0,6.0,0.0,0.0,9.0,3505.0,0.0,29.3,43,0.0,0.0
15.0,16.0,0.0,0.0,7.0,222.0,1951.0,25.83,80,0.0,0.0
15.0,15.0,1.0,0.0,7.0,3515.0,1176.0,27.3,70,0.0,0.0
